hip,hd,bf,proper,ra,dec,dist,mag,absmag,spect,x,y,z
53556,95122,,,10.955613,-69.038055,267.3797,6.48,-0.656,B7V,-92.101177,25.829374,-249.684041
53940,95716,,,11.03718,-41.114145,448.4305,6.48,-1.778,M4III,-327.171805,84.260877,-294.870527
54388,96528,64    Leo,,11.127696,23.323762,77.4593,6.48,2.035,A5m,-69.28275,16.102923,30.668173
57092,101805,,,11.704124,-75.227317,34.4116,6.48,3.796,G1V,-8.748109,0.678942,-33.274061
57507,102438,,,11.787731,-30.28651,17.4734,6.48,5.268,G5V,-15.065328,0.838098,-8.812314
57749,102888,,,11.843663,-27.277936,154.5595,6.48,0.535,G8III,-137.256452,5.620948,-70.835739
58859,104839,,,12.07131,-51.472518,117.6471,6.48,1.127,B9V,-73.268427,-1.367936,-92.036441
59389,105822,,,12.183672,-68.260966,268.8172,6.48,-0.667,K0/K1III,-99.449338,-4.785741,-249.699044
60421,107814,,,12.388574,-11.812117,283.2861,6.48,-0.781,M3III,-275.853755,-28.15939,-57.989539
62743,111720,,,12.856369,-10.338219,156.0062,6.48,0.514,G8III,-149.632397,-34.120708,-27.996608
63204,112381,,,12.94951,-54.587348,118.4834,6.48,1.112,A0p,-66.546214,-16.891426,-96.563954
65372,116338,,,13.397817,-49.822811,120.7729,6.48,1.07,G8III,-72.757675,-27.881196,-92.27667
65969,117558,,,13.525882,-28.11274,99.5025,6.48,1.491,A1V,-80.85337,-34.13418,-46.886359
66326,118266,,,13.592618,10.204962,120.4819,6.48,1.075,K1III+...,-108.417755,-48.019845,21.345827
66385,118536,,,13.611082,49.486648,156.25,6.48,0.511,K1III,-92.608238,-41.554215,118.789713
66405,118319,,,13.614048,-34.467839,131.9261,6.48,0.878,K0III,-99.199175,-44.604175,-74.662836
67778,121197,,,13.885677,40.337977,355.8719,6.48,-1.276,K5,-238.871257,-128.53908,230.354156
69778,124099,,,14.281989,-77.664221,617.284,6.48,-2.472,K2IIp,-109.034204,-74.182466,-603.03228
70538,126400,,,14.429936,-26.852241,71.7875,6.48,2.2,K0III,-51.518502,-38.05082,-32.425811
73850,133469,,,15.092751,-30.550864,35.1124,6.48,3.753,F6V,-20.856075,-21.894358,-17.84774
73881,133399,,,15.100671,-48.883391,282.4859,6.48,-0.775,B3V,-127.845682,-134.76863,-212.817119
76985,140438,,,15.719592,13.667666,173.3102,6.48,0.286,G5III,-94.671085,-139.272257,40.951418
79441,145976,,,16.212629,26.670583,73.2601,6.48,2.156,F3V,-29.527584,-58.427973,32.883515
81404,149908,,,16.626044,5.277526,163.6661,6.48,0.41,K0,-57.365298,-152.542425,15.054009
81800,151044,,,16.707714,49.936441,29.3341,6.48,4.143,F8V,-6.266412,-17.810197,22.450208
83090,153229,,,16.978211,-14.869671,51.8941,6.48,2.904,F3IV/V,-13.257512,-48.372294,-13.317098
83499,153919,,,17.06577,-37.844143,100000,6.48,-13.52,O5f,-19122.13468,-76618.07543,-61351.56354
85149,157853,,,17.400627,38.582782,175.4386,6.48,0.259,F8IV,-21.431526,-135.457,109.411507
85405,157969,,,17.452745,-15.85336,136.2398,6.48,0.808,K0II/III,-18.712615,-129.714997,-37.217478
86098,159312,,,17.595297,-37.439878,103.4126,6.48,1.407,A0V,-8.683236,-81.648258,-62.867434
86510,159558,,,17.67904,-67.854172,140.056,6.48,0.748,G8III,-4.431257,-52.609952,-129.723707
87564,161955,,,17.88839,-65.488601,151.0574,6.48,0.584,K0/K1III,-1.830996,-62.64291,-137.443551
